"IDRSSD"	RCONFT04	RCONFT05	RCONHT81	RCONHT82	RCONHT86	RCONL191	RCONL192	RCONM288	RIADHT85	
	PRINCIPAL AMOUNT OF 1-4 FAMILY RESID	QUARTER END AMOUNT OF 1-4 FAMILY RES	Retail originations during the quart	Wholesale originations and purchases	Repurchases and indemnification of 1	REP AND WARRNTY TO US GOVT AGCY	REP AND WARRNTY TO OTHR PARTIES	REP WARRNTY TO US GOVT AGCY TOTAL	Noninterest income for the quarter f	
202907	16560	1187	18282	0	0	CONF	CONF	0	971	
203043	13433	2012	18859	0	0	CONF	CONF	0	472	
203052						CONF	CONF			
203575						CONF	CONF			
204004	0	0	0	0	0	CONF	CONF	0	1577	
204237						CONF	CONF			
204826						CONF	CONF			
205243						CONF	CONF			
205346						CONF	CONF			
205458						CONF	CONF			
205542						CONF	CONF			
206156						CONF	CONF			
206174						CONF	CONF			
206473						CONF	CONF			
206772						CONF	CONF			
206950						CONF	CONF			
207041						CONF	CONF			
207050	193354	101421	40200	206193	1797	CONF	CONF	898	2989	
207452						CONF	CONF			
207470						CONF	CONF			
207555						CONF	CONF			
207845	13926	0				CONF	CONF			
207872						CONF	CONF			
208057	1254	0	1254	0	0	CONF	CONF	0	86	
208244	315228	77618	351256	0	859	CONF	CONF	925	7939	
208347						CONF	CONF			
208440						CONF	CONF			
208459						CONF	CONF			
208570						CONF	CONF			
208655						CONF	CONF			
208972						CONF	CONF			
209148						CONF	CONF			
209362						CONF	CONF			
209559						CONF	CONF			
209858						CONF	CONF			
210238						CONF	CONF			
210256						CONF	CONF			
210434	0	3132	0	0	0	CONF	CONF	0	0	
211114	0	0	0	0	0	CONF	CONF	0	0	
211271	28335	8600	32080	0	0	CONF	CONF	80	1846	
211338						CONF	CONF			
211851						CONF	CONF			
212018						CONF	CONF			
212344						CONF	CONF			
212522	0	0	9415	0	0	CONF	CONF	0	190	
212577	138615	143899	29158	126957	0	CONF	CONF	475	1528	
213471						CONF	CONF			
213538						CONF	CONF			
213912						CONF	CONF			
213958	0	0	0	0	0	CONF	CONF	0	0	
214106						CONF	CONF			
214414	8968	2532	10488	0	0	CONF	CONF	0	337	
214722	3952	0	3371	0	0	CONF	CONF	0	231	
214807	0	0	0	0	0	CONF	CONF	0	0	
215345						CONF	CONF			
215653						CONF	CONF			
215662						CONF	CONF			
215710						CONF	CONF			
216164						CONF	CONF			
216922	17598	8928	21068	0	0	CONF	CONF	0	315	
217059						CONF	CONF			
218131						CONF	CONF			
218261						CONF	CONF			
218878						CONF	CONF			
219044						CONF	CONF			
219651						CONF	CONF			
219679						CONF	CONF			
220059						CONF	CONF			
220527	1554	1541	1192	1359	0	CONF	CONF	0	0	
220844						CONF	CONF			
220974						CONF	CONF			
221775						CONF	CONF			
222156						CONF	CONF			
222558						CONF	CONF			
222754						CONF	CONF			
223322	13713	12605	14006	0	0	CONF	CONF	0	644	
223452						CONF	CONF			
223751						CONF	CONF			
223845						CONF	CONF			
224954						CONF	CONF			
225054						CONF	CONF			
225157						CONF	CONF			
225559	22161	5233				CONF	CONF			
225942						CONF	CONF			
226949						CONF	CONF			
227151						CONF	CONF			
227357						CONF	CONF			
227656	41896	7610	49506	0	0	CONF	CONF	0	1691	
227777						CONF	CONF			
228000						CONF	CONF			
228158						CONF	CONF			
228279						CONF	CONF			
228345						CONF	CONF			
229070						CONF	CONF			
229173						CONF	CONF			
229342						CONF	CONF			
229454						CONF	CONF			
229801	42424	9146	43072	0	0	CONF	CONF	0	4468	
229913	0	0	0	0	0	CONF	CONF	0	0	
230423						CONF	CONF			
230610						CONF	CONF			
230759						CONF	CONF			
231279						CONF	CONF			
232847						CONF	CONF			
232856	27847	7603				CONF	CONF			
233031	476000	261000	516000	0	0	CONF	CONF	3000	48000	
233246						CONF	CONF			
233358						CONF	CONF			
233442						CONF	CONF			
233527	19193	452				CONF	CONF			
233554	15501	5946				CONF	CONF			
234355	12636	4224	15580	0	0	CONF	CONF	811	339	
234506						CONF	CONF			
234739						CONF	CONF			
234841						CONF	CONF			
235174						CONF	CONF			
235231						CONF	CONF			
235446						CONF	CONF			
235530						CONF	CONF			
235558						CONF	CONF			
235950						CONF	CONF			
236153	169721	18351	172777	0	0	CONF	CONF	0	2765	
236256						CONF	CONF			
236603						CONF	CONF			
236706	2420	0	1712	0	0	CONF	CONF	0	0	
236957	0	0	0	0	0	CONF	CONF	0	0	
237066						CONF	CONF			
237619						CONF	CONF			
237954						CONF	CONF			
238139						CONF	CONF			
238250						CONF	CONF			
238737						CONF	CONF			
239556						CONF	CONF			
239659	52453	10885				CONF	CONF			
240954						CONF	CONF			
241009						CONF	CONF			
241157						CONF	CONF			
241559						CONF	CONF			
242257						CONF	CONF			
242444						CONF	CONF			
242949						CONF	CONF			
242958						CONF	CONF			
242976						CONF	CONF			
243375						CONF	CONF			
243414						CONF	CONF			
243955						CONF	CONF			
244037						CONF	CONF			
244149	50990	8207	40133	0	1128	CONF	CONF	373	2526	
244158						CONF	CONF			
244251						CONF	CONF			
245016						CONF	CONF			
245276	34375	14590	36526	0	1321	CONF	CONF	109	-1335	
245351						CONF	CONF			
245557	45390	8090				CONF	CONF			
246022	12841	1178	11240	0	0	CONF	CONF	0	0	
246134						CONF	CONF			
246451						CONF	CONF			
246657						CONF	CONF			
246947						CONF	CONF			
246956						CONF	CONF			
