"IDRSSD"	RCFD0010	RCFD0022	RCFD0070	RCFD0082	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0080	RCON0082	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BALANCES WITH BKS IN FGN COUNTRIES	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	
472616						91493	4517	0	4362	1615	80999	
472951												
472979												
473042												
473257												
473266												
473930												
474058												
474245												
474254						413379	67772	0	15507	5406	324694	
474357												
474450												
474544												
474656												
474759						659899	28819	0	23174	33673	574233	
474919						788920	180084	9413	93980	77226	428217	
475345												
475354												
475653												
475756												
476445												
476472												
476539												
476810	329727000	5371000	151133000	230000	172993000	176932000	2721000	165000	860000	193000	172993000	
477321												
477349						7136	18	0	710	4775	1633	
477648												
477844												
478140												
478195												
479071												
479268						198093	31065	0	14629	6856	145543	
479370												
479446												
479567												
479754												
479839												
480059												
480228	232923000	17708000	57981000	655000	156579000	174826000	5299000	621000	11737000	590000	156579000	
480246												
480330												
480433												
480723												
480853												
481159												
481177						23413	11091	0	7394	4623	305	
481579												
481627												
481748												
481944												
482053												
482156												
482370												
482446												
483274												
483537												
483751												
484057												
484776												
485054												
485139												
485214												
485456												
485559						2140243	421624	25993	453221	96971	1142434	
487142												
487357						35557	154	0	4592	5771	25040	
488318	153176	171	0	52	152953	153176	171	0	0	52	152953	
488420												
488653												
