rssd_id,total_equity_capital,total_equity_capital_usd,bank_name
618777,12775.0,12775000.0,FAIRVIEW SAVINGS AND LOAN ASSOCIATION
5972661,12774.0,12774000.0,PAYCOM NATIONAL TRUST BANK
711753,12773.0,12773000.0,SCRIBNER BANK
14650,12769.0,12769000.0,ALL CAPITAL BANK
2702764,12765.0,12765000.0,COMMUNITY BANK OF OELWEIN
157379,12740.0,12740000.0,METHUEN CO-OPERATIVE BANK
11837,12734.0,12734000.0,"FARMERS BANK, THE"
811550,12729.0,12729000.0,AMERICAN EXCHANGE BANK
2973041,12710.0,12710000.0,"FIRST COMMUNITY TRUST, NATIONAL ASSOCIATION"
675855,12710.0,12710000.0,PROGRESSIVE NATIONAL BANK
647414,12707.0,12707000.0,"SAVANNAH BANK, N.A."
397456,12698.0,12698000.0,FIRST NATIONAL BANK OF FORT STOCKTON
246451,12673.0,12673000.0,CITIZENS BANK OF ROGERSVILLE
735973,12673.0,12673000.0,SCOTTSBURG BUILDING AND LOAN ASSOCIATION
552956,12667.0,12667000.0,SILEX BANKING COMPANY
597041,12608.0,12608000.0,FIDELITY BANK
950356,12603.0,12603000.0,SECURITY STATE BANK OF HIBBING
983550,12591.0,12591000.0,HOME STATE BANK
223751,12587.0,12587000.0,BELT VALLEY BANK
141350,12586.0,12586000.0,"FIRST STATE BANK, THE"
2726050,12580.0,12580000.0,FIRST CENTRAL BANK MCCOOK
496434,12578.0,12578000.0,DOZIER BANK
535575,12566.0,12566000.0,"1ST FEDERAL SAVINGS BANK OF SC, INC."
784430,12544.0,12544000.0,"MERCHANTS & CITIZENS BANK, THE"
5755510,12509.0,12509000.0,LEGACY BANK
184656,12501.0,12501000.0,"CITIZENS NATIONAL BANK OF HILLSBORO, THE"
343770,12499.0,12499000.0,NASHVILLE SAVINGS BANK
733755,12483.0,12483000.0,JONESBURG STATE BANK
909756,12473.0,12473000.0,PRIME SECURITY BANK
940021,12466.0,12466000.0,"BANK OF MAGNOLIA COMPANY, THE"
987848,12465.0,12465000.0,COMMUNITY STATE BANK
322449,12456.0,12456000.0,COMMUNITY STATE BANK
364850,12449.0,12449000.0,FIRST STATE BANK OF BIGFORK
795959,12433.0,12433000.0,KENNETT TRUST BANK
490843,12415.0,12415000.0,"CARROLL COUNTY TRUST COMPANY OF CARROLLTON, MISSOURI"
944739,12394.0,12394000.0,"BANK OF LAFAYETTE, THE"
302030,12381.0,12381000.0,BANK OF BELLE GLADE
648345,12361.0,12361000.0,SIDNEY STATE BANK
646042,12352.0,12352000.0,FARMERS TRUST & SAVINGS BANK
123075,12349.0,12349000.0,MILTON SAVINGS BANK
971070,12344.0,12344000.0,"DALHART FEDERAL SAVINGS & LOAN ASSOCIATION, SSB"
563336,12340.0,12340000.0,"CITIZENS' BANK, INC."
901451,12328.0,12328000.0,CITIZENS NATIONAL BANK OF CROSBYTON
218261,12328.0,12328000.0,ZAPATA NATIONAL BANK
3148613,12301.0,12301000.0,COMMERCE BANK & TRUST
178356,12269.0,12269000.0,COLFAX BANKING COMPANY
572347,12264.0,12264000.0,BANK OF BILLINGS
636753,12251.0,12251000.0,"FIRST NATIONAL BANK OF DIGHTON, THE"
764142,12246.0,12246000.0,FEDERATION BANK
812379,12245.0,12245000.0,FIRST COMMUNITY BANK OF CULLMAN
926650,12239.0,12239000.0,STATE BANK OF SCOTIA
44750,12226.0,12226000.0,CITIZENS BANK OF THE MIDWEST
2696180,12182.0,12182000.0,FIRST COMMUNITY BANK OF HILLSBORO
80431,12168.0,12168000.0,UNION BANK & TRUST COMPANY
253730,12157.0,12157000.0,SWEET WATER STATE BANK
402873,12151.0,12151000.0,"VERSAILLES SAVINGS AND LOAN COMPANY, THE"
991135,12146.0,12146000.0,"STATE BANK OF GENEVA, THE"
820477,12145.0,12145000.0,MIDLAND FEDERAL SAVINGS AND LOAN ASSOCIATION
747051,12144.0,12144000.0,HOMEPRIDE BANK
854847,12114.0,12114000.0,FIRST STATE BANK
881900,12083.0,12083000.0,MILLBURY NATIONAL BANK
544447,12066.0,12066000.0,CITIZENS SAVINGS BANK
235950,12064.0,12064000.0,JOHNSON STATE BANK
681043,12060.0,12060000.0,FIRST SECURITY STATE BANK
532752,12053.0,12053000.0,"RILEY STATE BANK OF RILEY KANSAS, THE"
923257,12045.0,12045000.0,PEOPLES BANK
104234,12044.0,12044000.0,"HARRISON COUNTY BANK, THE"
290922,12015.0,12015000.0,"NATIONAL BANK OF ADAMS COUNTY OF WEST UNION, THE"
324975,11993.0,11993000.0,DEWITT SAVINGS BANK
818540,11988.0,11988000.0,"FIRST NATIONAL BANK OF MANNING, THE"
3005097,11988.0,11988000.0,COMMUNITY BANK OF MISSOURI
24659,11978.0,11978000.0,PRODUCE STATE BANK
2745529,11961.0,11961000.0,THRIVENT TRUST CO.
382742,11961.0,11961000.0,BANK MICHIGAN
779641,11954.0,11954000.0,"PORT AUSTIN STATE BANK, THE"
286840,11930.0,11930000.0,STATE SAVINGS BANK
745347,11927.0,11927000.0,BOONE BANK & TRUST CO.
770451,11912.0,11912000.0,FARMERS & MERCHANTS STATE BANK OF SPRINGFIELD
255547,11896.0,11896000.0,COMMUNITY BANK OF TRENTON
106676,11891.0,11891000.0,BAR HARBOR SAVINGS AND LOAN ASSOCIATION
37,11886.0,11886000.0,BANK OF HANCOCK COUNTY
3029253,11876.0,11876000.0,EVERENCE TRUST COMPANY
938550,11871.0,11871000.0,COMMUNITY BANK
546320,11861.0,11861000.0,"SHERWOOD STATE BANK, THE"
