"IDRSSD"	RCON8725	RCONA126	RCONC391	RCONFT00	RCONFT01	RCONFT02	RCONFT03	RCONFT04	RCONFT05	RCONFT06	RCONFT07	RCONFT08	RCONFT09	RCONFT10	RCONFT11	RCONFT12	RCONFT13	RCONFT14	RCONFT15	RCONFT16	RCONHK18	RCONHK19	RIADC388	RIADC389	RIADC390	RIADF551	RIADF553	
	TOTL INT RATE CONTRCS-MKD TO MARKET	TOTAL INT RATE CONTRACTS TRADING	OTSTDNG CRED CD FEES & FIN CHGS	DOES THE INSTITUTION HAVE ANY DERIVA	TOTAL GROSS NOTIONAL AMOUNT OF ALL O	TOTAL GROSS NOTIONAL AMOUNT OF ALL O	FOR THE TWO CALENDAR QUARTERS PRECED	PRINCIPAL AMOUNT OF 1-4 FAMILY RESID	QUARTER END AMOUNT OF 1-4 FAMILY RES	DOES THE INSTITUTION USE THE FAIR VA	DOES THE INSTITUTION HAVE ANY ASSETS	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION HAVE ANY ASSETS	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION SERVICE ANY CLO	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION HAVE ANY CONSOL	TOTAL ASSETS OF CONSOLIDATED VARIABL	TOTAL LIABILITIES OF CONSOLIDATED VA	DOES THE INSTITUTION, TOGETHER WITH	AGGREGATE AMOUNT OF FAIR VALUE OPTIO	AGGREGATE AMOUNT OF FAIR VALUE OPTIO	UNCOLLBLE CRED CRD FEE&FIN CHGS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW CR LN&LSE LOSS CC/FIN CHGS	NET GAINS(LOSS) ERN RPT AT FV	NET GN LS ERN ON LIABILITY RPT AT FV	
114840	7114	0		true	0	0	false			false	false		false		false		false			false								
114859				false			false			false	false		true	9807	true	10167	false			false								
115146				false			false			false	false		false		false		false			false								
115575	70000	0		true	0	0	true	3857	0	false	false		true	6464	true	107433	false			false								
116358				false			false			false	false		false		false		false			false								
116554				false			true	5638	3326	false	false		false		false		false			false								
116741				false			false			false	false		false		false		false			false								
117038	8885	0																										
117458	0	2304		true	0	0	false			false	false		false		false		false			false								
117775	0	0						0	0																			
118156				false			false			false	false		false		false		false			false								
118660				false			false			false	false		false		true	4387	false			false								
118736				false			false			false	false		false		false		false			false								
119153	0	0																										
119779	10897	52737																										
119872	64448	64448		true	0	0	false			false	false		false		true	28537	false			false								
120476				false			false			false	false		false		false		false			false								
120542				false			false			false	false		false		true	42464	false			false								
120609	60000	0		true	0	0	false			false	false		true	7750	true	147252	false			false								
120953				false			false			false	false		false		false		false			false								
121642	163538	0						45562	12874																			
121651	202720	150000		true	0	0	false			true	false		false		false		false			false	28796	892372				1155	2579	
121914				false			false			false	false		false		false		false			false								
122153				false			false			false	false		false		false		false			false								
122546				false			false			false	false		false		false		false			false								
123075				false			false			false	false		false		false		false			false								
123374				false			false			false	false		false		false		false			false								
124344	170262	0		true	0	0	true	15846	1315	false	false		false		true	255160	false			false								
124830				false			false			false	false		false		false		false			false								
125154	0	0																										
125855	3498	0		true	0	0	true	5450	1303	true	false		false		true	287968	false			false	2837	0				-5	0	
126012				false			false			false	false		false		false		false			false								
126049				false			false			false	false		false		false		false			false								
126375				false			false			false	false		false		false		false			false								
126553	20132	0						11209	10054																			
126834	357	0		true	0	0	false			false	false		false		true	101038	false			false								
127055				false			false			false	true	7540	true	90	true	25347	false			false								
127224				false			false			false	false		true	149	false		false			false								
128258				false			false			false	false		false		false		false			false								
128904	6527034	0						98803	25814																			
129349				false			false			false	false		true	7310	false		false			false								
129358				false			true	23368	4833	false	false		true	1923	true	27607	false			false								
129732	650000	966434						0	0																	-1862	0	
129853				false			false			false	false		false		false		false			false								
129910	1	0		true	0	0	true	5116	1982	false	false		false		true	764	false			false								
130345	305	0		true	0	0	false			false	false		false		true	142291	false			false								
130541	1009772	0						39090	6261																			
131436	0	0																										
131717	0	0						0	0																			
131940				false			false			false	false		false		false		false			false								
132107	411742	0		true	0	62000	true	24797	4805	false	false		true	167928	true	333032	false			false								
132451				false			false			false	false		false		false		false			false								
132778				false			false			false	false		false		true	35807	false			false								
132938				false			false			false	false		false		false		false			false								
133579	0	0						0	0																			
133971				false			false			false	false		false		false		false			false								
134156				false			false			false	false		false		false		false			false								
