"IDRSSD"	RCFD2143	RCFD2150	RCFD2651	RCFD3163	RCFD3164	RCFD3190	RCFD4088	RCFD6164	RCFD6165	RCFDA590	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJA29	RCFDJF76	RCFDK192	RCFDK193	RCFDK194	RCFN5513	RCON2143	RCON2150	RCON2651	RCON3163	RCON3164	RCON3190	RCON4088	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB569	RCONB570	RCONB571	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJA29	RCONJF76	RCONK192	RCONK193	RCONK194	RCONL133	RCONL135	RCONLG26	RCONLG27	RCONLG28	RCONLL57	RCONLL59	RCONLL60	RCONMM07	RCONMQ52	RCONN523	RCONN524	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
291059																														0	0	0	0	0	0		0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0			0	0						0	0	0	0	0	0																					http://www.bankofhydro.com	
291611																														0	306	0	0	0	86		0	0	266	0	40	289	0	0			12	0	0	0	0	0	12	27	28	19	0	86			0	0						0	0	0	0	0	0																					www.hamlinbank.com	
291732																														0	0	0	0	0	0		0	0	0	0	0	316	0	0			0	0	0	0	0	0	0	0	0	0	0	0				0						0	0	0	0	0	0																					www.fmbal.com	
292234																														0	67	0	0	0	0		0	0	67	0	0	1283	2	0			0	0	0	0	0	0	0	0	0	0	0	0			0	0						0	0	0	0	0	0																					www.ffbalabama.com	
292467																														0	0	0	0	0	0		0	0	0	0	0	446	0	0			0	0	0	0	0	0	0	0	0	0	0	0				0						0	0	0	0	0	0																					http://www.pointwestbank.com	
292850																														0	47	0	0	0	0		0	0	47	0	0	639	1	0			0	0	0	0	0	0	0	0	0	0	0	0			0	0						0	0	0	0	0	0																					http://www.fnbwakefieldmi.com/	
293053																														15251	1927	0	15251	0	0		0	0	0	0	1927	14956	5	0			0	0	0	0	0	0	0	0	0	0	0	0				0						0	0	0	0	0	0																					www.cnbtx.bank	
293437																														0	10	29500	0	0	44500		10	0	0	0	0	933	0	0			0	29500	15000	0	0	15000	0	0	0	0	0	0				0						0	0	0	0	0	0																					http://www.cbwinfield.com	
293651																														1285	0	0	682	0	613		0	0	0	0	0	2300	1	0			0	0	513	100	0	0	0	0	0	0	0	0				603						0	0	0	0	0	0																					http://campbellcountybank.com	
293754																														0	0	0	0	0	394		0	0	0	0	0	702	0	0			394	0	0	0	0	0	394	0	0	0	0	394				0						0	0	0	0	0	0																					www.state.bank	
